count;word0;word1
187;NONE;$0
185;100;100
141;100;NONE
136;NONE;STOP
134;NONE;$$81
131;START;$99
130;$0;100
129;100;102
129;$99;100
110;$0;NONE
97;102;NONE
87;NONE;NONE
56;$$81;$0
37;NONE;$10
27;1;NONE
27;$$81;NONE
25;$20;NONE
24;NONE;1
23;$$81;$$83
22;102;114
21;114;NONE
20;NONE;2
20;$2;NONE
19;$3;NONE
19;$1;NONE
18;2;NONE
17;NONE;5
17;5;NONE
17;3;NONE
17;$10;$0
17;$0;$0
16;$0;$3
15;$$83;NONE
14;NONE;$5
14;NONE;$20
14;$5;NONE
13;NONE;$2
13;0;NONE
13;$0;$1
10;NONE;$1
10;$21;NONE
10;$10;NONE
9;NONE;0
9;NONE;$$83
9;1;1
9;$3;$2
9;$1;$20
9;$0;3
8;255;NONE
7;2;$0
7;$4;NONE
7;$$81;0
6;NONE;$8
6;NONE;$15
6;2;2
6;115;NONE
6;$$83;$0
5;START;0
5;NONE;$99
5;NONE;$3
5;110;NONE
5;101;NONE
5;100;101
5;1;0
5;0;1
5;0;$97
5;$97;100
5;$40;NONE
5;$0;$20
5;$$81;$$82
4;NONE;3
4;NONE;255
4;NONE;$7
4;NONE;$6
4;NONE;$4
4;102;115
4;102;110
4;1;2
4;0;0
4;0;$3
4;$5;$0
4;$20;$1
4;$1;$0
4;$0;1
4;$0;0
4;$0;$$83
4;$$83;1
4;$$82;NONE
4;$$81;$$84
3;NONE;42
3;NONE;100
3;NONE;$40
3;NONE;$30
3;NONE;$25
3;NONE;$11
3;42;NONE
3;3;3
3;255;$0
3;2;$4
3;110;102
3;105;NONE
3;102;105
3;1;$0
3;-1;NONE
3;$99;110
3;$8;NONE
3;$6;$20
3;$5;$5
3;$30;$0
3;$25;$20
3;$20;$3
3;$17;$16
3;$15;NONE
3;$15;$1
3;$11;$21
3;$11;$10
3;$10;$21
3;$10;$1
3;$0;$5
3;$$84;$$83
3;$$83;255
3;$$83;$$81
3;$$81;3
3;$$81;100
3;$$81;1
3;$$81;$21
2;NONE;$14
2;8;NONE
2;255;$$81
2;114;115
2;107;NONE
2;1;$5
2;1;$$81
2;0;2
2;$99;102
2;$6;$3
2;$5;$6
2;$20;$12
2;$18;$17
2;$16;$15
2;$15;$18
2;$14;$0
2;$10;255
2;$10;$20
2;$10;$12
2;$1;255
2;$0;2
2;$$84;NONE
2;$$83;0
2;$$83;$10
2;$$83;$1
2;$$81;255
2;$$81;-1
2;$$81;$40
1;NONE;8
1;NONE;-1
1;NONE;$9
1;NONE;$33
1;NONE;$13
1;NONE;$12
1;7;$0
1;6;0
1;42;$4
1;42;$0
1;4;NONE
1;3;2
1;3;$4
1;255;$$84
1;2;8
1;2;3
1;2;0
1;2;$8
1;113;NONE
1;112;102
1;111;102
1;109;NONE
1;109;110
1;108;109
1;106;107
1;104;114
1;103;104
1;102;113
1;102;109
1;102;108
1;102;107
1;102;106
1;102;103
1;0;7
1;0;4
1;0;$5
1;0;$30
1;0;$0
1;0;$$81
1;$99;112
1;$99;111
1;$9;NONE
1;$9;$0
1;$8;42
1;$8;100
1;$8;$3
1;$8;$21
1;$8;$20
1;$8;$10
1;$7;0
1;$7;$20
1;$7;$19
1;$7;$$83
1;$6;100
1;$6;$0
1;$5;3
1;$5;1
1;$5;$4
1;$5;$20
1;$40;$5
1;$4;$5
1;$4;$4
1;$4;$3
1;$4;$20
1;$33;NONE
1;$30;NONE
1;$3;3
1;$3;2
1;$3;$9
1;$3;$5
1;$3;$20
1;$3;$1
1;$3;$0
1;$20;1
1;$20;$6
1;$20;$5
1;$20;$18
1;$20;$17
1;$20;$15
1;$20;$11
1;$2;100
1;$2;$3
1;$2;$0
1;$19;NONE
1;$18;NONE
1;$16;NONE
1;$15;$0
1;$13;2
1;$13;$11
1;$12;NONE
1;$12;$8
1;$12;$3
1;$12;$13
1;$12;$11
1;$11;NONE
1;$10;$40
1;$10;$3
1;$10;$11
1;$10;$$81
1;$1;100
1;$1;1
1;$1;$2
1;$1;$1
1;$0;255
1;$0;$8
1;$$85;$0
1;$$84;$1
1;$$83;42
1;$$83;100
1;$$83;$$84
1;$$82;$0
1;$$81;6
1;$$81;2
1;$$81;$$85
